NAME,b3,a3,b4,a4
MQXA.1R1,0.31,0.37,0.11,0.28
MQXB.A2R1,0.64,1.00,0.14,0.52
MQXB.B2R1,0.64,1.00,0.14,0.52
MQXA.3R1,0.31,0.37,0.11,0.28
MQXA.3L2,0.31,0.37,0.11,0.28
MQXB.B2L2,0.64,1.00,0.14,0.52
MQXB.A2L2,0.64,1.00,0.14,0.52
MQXA.1L2,0.31,0.37,0.11,0.28
MQXA.1R2,0.31,0.37,0.11,0.28
MQXB.A2R2,0.64,1.00,0.14,0.52
MQXB.B2R2,0.64,1.00,0.14,0.52
MQXA.3R2,0.31,0.37,0.11,0.28
MQXA.3L5,0.31,0.37,0.11,0.28
MQXB.B2L5,0.64,1.00,0.14,0.52
MQXB.A2L5,0.64,1.00,0.14,0.52
MQXA.1L5,0.31,0.37,0.11,0.28
MQXA.1R5,0.31,0.37,0.11,0.28
MQXB.A2R5,0.64,1.00,0.14,0.52
MQXB.B2R5,0.64,1.00,0.14,0.52
MQXA.3R5,0.31,0.37,0.11,0.28
MQXA.3L8,0.31,0.37,0.11,0.28
MQXB.B2L8,0.64,1.00,0.14,0.52
MQXB.A2L8,0.64,1.00,0.14,0.52
MQXA.1L8,0.31,0.37,0.11,0.28
MQXA.1R8,0.31,0.37,0.11,0.28
MQXB.A2R8,0.64,1.00,0.14,0.52
MQXB.B2R8,0.64,1.00,0.14,0.52
MQXA.3R8,0.31,0.37,0.11,0.28
MQXA.3L1,0.31,0.37,0.11,0.28
MQXB.B2L1,0.64,1.00,0.14,0.52
MQXB.A2L1,0.64,1.00,0.14,0.52
MQXA.1L1,0.31,0.37,0.11,0.28
